date,epsActual,epsEstimate,hour,quarter,revenueActual,revenueEstimate,symbol,year
2025-05-13,,-8.619,amc,1,,1855380.0,OMIC,2025
2025-05-13,,0.3691,amc,1,,508139040.0,EXEL,2025
2025-05-13,,-0.153,bmo,1,,0.0,ACXP,2025
2025-05-13,,-0.1224,,1,,3799500.0,BNZI,2025
2025-05-13,,-0.1887,amc,1,,4148778.0,GOSS,2025
2025-05-13,,-0.7752,bmo,1,,2316930.0,NUWE,2025
2025-05-13,,,,1,,,VCNX,2025
2025-05-13,,-0.5049,amc,1,,11852910.0,FBIO,2025
2025-05-13,,-0.6161,,1,,202000.0,AQB,2025
2025-05-13,,,,1,,,RLBY,2025
2025-05-13,,,,1,,,SSII,2025
2025-05-13,,,,1,,,RNGE,2025
2025-05-13,,0.1734,bmo,1,,114798960.0,LOAR,2025
2025-05-13,,0.204,amc,3,,16065000.0,ELMD,2025
2025-05-13,,,,1,,,UAVS,2025
2025-05-13,,,,1,,,APCX,2025
2025-05-13,,,,1,,,BUDZ,2025
2025-05-13,,-0.7256,,1,,2518782900.0,DADA,2025
2025-05-13,,-0.1224,,1,,4011660.0,VSEE,2025
2025-05-13,,-0.2342,amc,1,,0.0,SANA,2025
2025-05-13,,0.786,bmo,1,,121390200.0,CAMT,2025
2025-05-13,,-0.102,amc,1,,11259780.0,TACT,2025
2025-05-13,,-0.5372,amc,1,,0.0,IMRX,2025
2025-05-13,,,,1,,,WHLM,2025
2025-05-13,,,,1,,,MITI,2025
2025-05-13,,-0.3706,amc,1,,3315000.0,SEER,2025
2025-05-13,,-0.1275,amc,1,,149066880.0,PRTS,2025
2025-05-13,,0.0404,amc,1,,72720000.0,SND,2025
